cond,cosine,dataset,group,probe,scene,state,value
m0,"cos(g_rkd_sh_a,g_couple)",7scenes,lora_late,probe1,office,theta0,-0.3323962986469269
m0,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,lora_late,probe1,office,theta0,0.19907481968402863
m0,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,lora_late,probe1,office,theta0,0.7791357040405273
m0,"cos(g_couple,g_rel_rot)",7scenes,lora_late,probe1,office,theta0,-0.6590965986251831
m0,"cos(g_couple,g_rel_tdir)",7scenes,lora_late,probe1,office,theta0,-0.6974037885665894
m0,"cos(g_rel_rot,g_rel_tdir)",7scenes,lora_late,probe1,office,theta0,0.7144254446029663
m0,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,cam_token,probe1,office,theta0,-0.6684654951095581
m0,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,cam_token,probe1,office,theta0,-0.09260905534029007
m0,"cos(g_maskdistill,g_couple)",7scenes,cam_token,probe1,office,theta0,-0.7430020570755005
m0,"cos(g_maskdistill,g_rel_rot)",7scenes,cam_token,probe1,office,theta0,0.9149414896965027
m0,"cos(g_maskdistill,g_rel_tdir)",7scenes,cam_token,probe1,office,theta0,0.6559398174285889
m0,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,cam_token,probe1,office,theta0,0.643195629119873
m0,"cos(g_rkd_sh_d,g_couple)",7scenes,cam_token,probe1,office,theta0,0.592030942440033
m0,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,cam_token,probe1,office,theta0,-0.6033900380134583
m0,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,cam_token,probe1,office,theta0,-0.11718912422657013
m0,"cos(g_rkd_sh_a,g_couple)",7scenes,cam_token,probe1,office,theta0,-0.19529736042022705
